"parameter","estimate","variance","standard_error"
"log_alpha1",1.42856673569617,0.00046295406365323,0.0215163673433326
"log_lambda1",-7.14649667649381,0.0235610686390114,0.153496151870369
"beta11",1.0378490919003,0.00132331541957647,0.036377402595244
"beta12",-1.09169823896075,0.00292555711719147,0.0540884194369873
"log_alpha2",1.38045911235373,0.000506018168410356,0.0224948475969578
"log_lambda2",-6.88396950998525,0.0237440102962061,0.154090915683586
"beta21",0.934590441355022,0.00149662613492426,0.038686252531413
"beta22",-0.885684892277228,0.00344755275072302,0.0587158645574007
"h11",0.298184312263072,0.00947404710678549,0.0973347168629235
"h12",0.134784756925386,0.00564494670985327,0.0751328603864732
"h22",0.263268134776209,0.00992825694136113,0.0996406390051826
